Month,Day,Version,Shop,Hour,Volume
8,1,actual,Total,1,4930.9
8,1,actual,KP,1,2315.77
8,1,actual,MP,1,2615.13
8,1,actual,unbalance,1,-621.9
8,1,plan,Total,1,4309
8,1,plan,KP,1,2326.19
8,1,plan,MP,1,1982.75
8,1,actual,Total,2,4738.25
8,1,actual,KP,2,2579.05
8,1,actual,MP,2,2159.2
8,1,actual,unbalance,2,-15.25
8,1,plan,Total,2,4723
8,1,plan,KP,2,2740.61
8,1,plan,MP,2,1982.75
8,1,actual,Total,3,4673.54
8,1,actual,KP,3,2467.81
8,1,actual,MP,3,2205.73
8,1,actual,unbalance,3,342.47
8,1,plan,Total,3,5016
8,1,plan,KP,3,2849.04
8,1,plan,MP,3,2166.75
8,1,actual,Total,4,4878.95
8,1,actual,KP,4,2469.39
8,1,actual,MP,4,2409.56
8,1,actual,unbalance,4,-483.95
8,1,plan,Total,4,4395
8,1,plan,KP,4,2412.13
8,1,plan,MP,4,1982.75
8,1,actual,Total,5,4639.85
8,1,actual,KP,5,2465.84
8,1,actual,MP,5,2174.02
8,1,actual,unbalance,5,325.15
8,1,plan,Total,5,4965
8,1,plan,KP,5,2740.61
8,1,plan,MP,5,2224.49
8,1,actual,Total,6,4798.5
8,1,actual,KP,6,2726.13
8,1,actual,MP,6,2072.37
8,1,actual,unbalance,6,110.5
8,1,plan,Total,6,4909
8,1,plan,KP,6,2740.61
8,1,plan,MP,6,2168.35
8,1,actual,Total,7,4922.85
8,1,actual,KP,7,2591.85
8,1,actual,MP,7,2331
8,1,actual,unbalance,7,-13.85
8,1,plan,Total,7,4909
8,1,plan,KP,7,2740.61
8,1,plan,MP,7,2168.35
8,1,actual,Total,8,5158.26
8,1,actual,KP,8,2884.1
8,1,actual,MP,8,2274.17
8,1,actual,unbalance,8,-665.26
8,1,plan,Total,8,4493
8,1,plan,KP,8,2326.19
8,1,plan,MP,8,2166.75
8,1,actual,Total,9,4507.33
8,1,actual,KP,9,2285.4
8,1,actual,MP,9,2221.93
8,1,actual,unbalance,9,72.67
8,1,plan,Total,9,4580
8,1,plan,KP,9,2412.1
8,1,plan,MP,9,2168.35
8,1,actual,Total,10,4831.71
8,1,actual,KP,10,2535.63
8,1,actual,MP,10,2296.08
8,1,actual,unbalance,10,-336.71
8,1,plan,Total,10,4495
8,1,plan,KP,10,2326.19
8,1,plan,MP,10,2168.35
8,1,actual,Total,11,5086.65
8,1,actual,KP,11,2655.33
8,1,actual,MP,11,2431.33
8,1,actual,unbalance,11,-535.65
8,1,plan,Total,11,4551
8,1,plan,KP,11,2326.19
8,1,plan,MP,11,2224.49
8,1,actual,Total,12,5087.63
8,1,actual,KP,12,2692.51
8,1,actual,MP,12,2395.12
8,1,actual,unbalance,12,-178.63
8,1,plan,Total,12,4909
8,1,plan,KP,12,2740.61
8,1,plan,MP,12,2168.35
8,1,actual,Total,13,4874.18
8,1,actual,KP,13,2397.83
8,1,actual,MP,13,2476.35
8,1,actual,unbalance,13,-374.18
8,1,plan,Total,13,4500
8,1,plan,KP,13,2326.19
8,1,plan,MP,13,2174.02
8,1,actual,Total,14,5106.12
8,1,actual,KP,14,2594.49
8,1,actual,MP,14,2511.63
8,1,actual,unbalance,14,29.88
8,1,plan,Total,14,5136
8,1,plan,KP,14,2740.61
8,1,plan,MP,14,2395.12
8,1,actual,Total,15,4484.42
8,1,actual,KP,15,2419.47
8,1,actual,MP,15,2064.95
8,1,actual,unbalance,15,451.58
8,1,plan,Total,15,4936
8,1,plan,KP,15,2440.61
8,1,plan,MP,15,2495.12
8,1,actual,Total,16,4678.07
8,1,actual,KP,16,2555.36
8,1,actual,MP,16,2122.71
8,1,actual,unbalance,16,230.93
8,1,plan,Total,16,4909
8,1,plan,KP,16,2740.61
